"DATE","DOY","week","TREAT","REP","STATION","ABIPN","BURSI","C7","CMAC","CSTIG","CTRIF","CYCSP","H13","HAXY","HCONV","HGLAC","HPARN","HVAR","PQUA","CANTHARID","LAMPY","LCW","MECOP","X20SPOT"
"6/18/2020",170,25,"1",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/1/2020",183,27,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/16/2020",198,29,"1",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/30/2020",212,31,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8/13/2020",226,33,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8/27/2020",240,35,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9/3/2020",247,36,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/18/2020",170,25,"1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7/1/2020",183,27,"1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/16/2020",198,29,"1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/30/2020",212,31,"1",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8/13/2020",226,33,"1",1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8/27/2020",240,35,"1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/3/2020",247,36,"1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/18/2020",170,25,"1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/1/2020",183,27,"1",1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7/16/2020",198,29,"1",1,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
"7/30/2020",212,31,"1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"8/13/2020",226,33,"1",1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"8/27/2020",240,35,"1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/3/2020",247,36,"1",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6/18/2020",170,25,"1",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/1/2020",183,27,"1",1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7/16/2020",198,29,"1",1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7/30/2020",212,31,"1",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
