week,TREAT,REP,STATION,CARD,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,X20SPOT,OTHER
22,1,1,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,1,New,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,2,New,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
28,1,1,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,1,1,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1,1,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,3,New,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1,1,3,New,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,4,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,4,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,4,New,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1,1,4,New,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,1,1,5,New,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,1,1,5,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,1,5,New,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,5,New,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
22,1,2,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,1,New,0,0,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,2,1,New,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,1,2,2,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,1,2,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,2,New,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2,2,New,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,1,2,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,3,New,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1,2,3,New,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1,2,4,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2,4,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,2,4,New,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1,2,4,New,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
22,1,2,5,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1,2,5,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,2,5,New,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28,1,2,5,New,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,1,3,1,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1,3,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,1,New,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
28,1,3,1,New,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
22,1,3,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,3,2,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,3,2,New,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,1,3,2,New,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,3,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,3,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,3,New,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,3,3,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,1,3,4,New,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,3,4,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,4,New,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1,3,4,New,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,1,3,5,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,1,3,5,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,5,New,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,3,5,New,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
22,1,4,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
