"week","TREAT","STATION","CARD","ABIPN","BURSI","C7","CMAC","CSTIG","CTRIF","CYCSP","H13","HAXY","HCONV","HGLAC","HPARN","HVAR","PQUA","CANTHARID","LAMPY","LCW","MECOP","X20SPOT","TRAPS"
"25","1","1","Old20",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","1","2","Old20",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
"25","1","3","Old20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","1","4","Old20",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","1","5","Old20",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","2","1","Old20",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
"25","2","2","Old20",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
"25","2","3","Old20",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","2","4","Old20",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","2","5","Old20",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","3","1","Old20",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","3","2","Old20",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","3","3","Old20",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","3","4","Old20",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","3","5","Old20",0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"25","4","1","Old20",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25","4","2","Old20",0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,6
"25","4","3","Old20",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
"25","4","4","Old20",0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
"25","4","5","Old20",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","5","1","Old20",0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6
"25","5","2","Old20",0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
"25","5","3","Old20",0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","5","4","Old20",0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","5","5","Old20",0,0,2,3,0,0,0,0,3,0,0,0,0,0,1,1,2,1,0,6
"25","6","1","Old20",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
"25","6","2","Old20",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"25","6","3","Old20",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"25","6","4","Old20",0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,6
"25","6","5","Old20",0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,6
"25","7","1","Old20",0,2,4,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,6
"25","7","2","Old20",0,2,2,1,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,6
"25","7","3","Old20",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"25","7","4","Old20",0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,6
"25","7","5","Old20",0,2,4,0,0,0,0,2,2,0,0,0,0,1,1,0,2,0,0,6
"25","CF","1","Old20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,3
"25","CF","2","Old20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
