"TRAPID","TREAT","REPLICATE","STATION","PLOT","XUTM83","YUTM83"
1,"T5",4,1,1,634218.34,4696179.79
2,"T5",4,2,1,634227.34,4696172.79
3,"T5",4,3,1,634236.34,4696161.79
4,"T5",4,4,1,634245.34,4696165.79
5,"T5",4,5,1,634254.34,4696187.79
6,"T1",3,1,2,634127.12,4696176.12
7,"T1",3,2,2,634142.12,4696162.12
8,"T1",3,3,2,634157.12,4696174.12
9,"T1",3,4,2,634172.12,4696206.12
10,"T1",3,5,2,634187.12,4696184.12
11,"T7",2,1,3,634030.88,4696174.41
12,"T7",2,2,3,634045.88,4696160.41
13,"T7",2,3,3,634060.88,4696172.41
14,"T7",2,4,3,634075.88,4696204.41
15,"T7",2,5,3,634090.88,4696182.41
16,"T6",1,1,4,633934.54,4696170.59
17,"T6",1,2,4,633949.54,4696156.59
18,"T6",1,3,4,633964.54,4696168.59
19,"T6",1,4,4,633979.54,4696200.59
20,"T6",1,5,4,633994.54,4696178.59
21,"T2",1,1,5,633931.90,4696282.59
22,"T2",1,2,5,633946.90,4696268.59
23,"T2",1,3,5,633961.90,4696280.59
24,"T2",1,4,5,633976.90,4696312.59
25,"T2",1,5,5,633991.90,4696290.59
26,"T6",2,1,6,634027.43,4696287.71
27,"T6",2,2,6,634042.43,4696273.71
28,"T6",2,3,6,634057.43,4696285.71
29,"T6",2,4,6,634072.43,4696317.71
30,"T6",2,5,6,634087.43,4696295.71
31,"T5",3,1,7,634117.08,4696288.89
32,"T5",3,2,7,634126.08,4696281.89
33,"T5",3,3,7,634135.08,4696270.89
34,"T5",3,4,7,634144.08,4696274.89
35,"T5",3,5,7,634153.08,4696296.89
36,"T7",4,1,8,634220.23,4696294.47
37,"T7",4,2,8,634235.23,4696280.47
38,"T7",4,3,8,634250.23,4696292.47
39,"T7",4,4,8,634265.23,4696324.47
40,"T7",4,5,8,634280.23,4696302.47
41,"T6",4,1,9,634216.97,4696407.90
42,"T6",4,2,9,634231.97,4696393.90
43,"T6",4,3,9,634246.97,4696405.90
44,"T6",4,4,9,634261.97,4696437.90
45,"T6",4,5,9,634276.97,4696415.90
