Treatment,Rep,Station,Date,Card,Syrphidae,Ichneumonoidae,Chalcidoidae,Lepidoptera,Orthoptera
T4,1,2,6/9/2021,New,0,0,11,0,0
T4,1,4,6/9/2021,New,0,0,4,0,0
SF,3,2,6/9/2021,New,0,0,8,0,0
SF,3,4,6/9/2021,New,0,2,7,0,0
T7,1,2,6/9/2021,New,0,1,65,0,0
T7,1,4,6/9/2021,New,0,2,62,1,0
T7,6,2,6/9/2021,New,0,0,27,0,0
T7,6,4,6/9/2021,New,0,0,11,0,0
DF,1,2,6/9/2021,New,0,0,36,0,0
DF,1,4,6/9/2021,New,0,8,36,0,0
DF,2,2,6/9/2021,New,0,1,8,0,0
DF,2,4,6/9/2021,New,0,16,12,1,0
T5,1,2,6/9/2021,New,0,0,169,1,0
T5,1,4,6/9/2021,New,0,0,238,0,0
CF,2,2,6/9/2021,New,1,5,10,161,0
CF,2,4,6/9/2021,New,0,5,7,141,0
CF,1,2,6/9/2021,New,0,5,17,2,0
CF,1,4,6/9/2021,New,0,3,79,0,0
T1,2,2,6/9/2021,New,0,1,9,0,0
T1,2,4,6/9/2021,New,0,1,30,1,0
T4,6,2,6/9/2021,New,0,0,7,0,0
T4,6,4,6/9/2021,New,0,1,18,0,0
T4,5,2,6/9/2021,New,0,2,29,0,0
T4,5,4,6/9/2021,New,0,1,20,0,0
T5,5,2,6/9/2021,New,0,0,69,0,0
T5,5,4,6/9/2021,New,0,3,32,0,0
T5,4,2,6/9/2021,New,0,0,194,0,0
T5,4,4,6/9/2021,New,0,1,86,0,0
T5,3,2,6/9/2021,New,0,0,172,0,0
T5,3,4,6/9/2021,New,0,3,199,0,0
T6,5,2,6/9/2021,New,0,0,67,0,0
T6,5,4,6/9/2021,New,0,0,0,0,0
T6,6,2,6/9/2021,New,0,1,63,0,0
T6,6,4,6/9/2021,New,0,2,66,0,0
T5,2,2,6/9/2021,New,0,5,145,0,0
T5,2,4,6/9/2021,New,0,0,48,0,0
T1,4,2,6/9/2021,New,0,0,23,0,0
T1,4,4,6/9/2021,New,0,0,26,0,0
T1,3,2,6/9/2021,New,0,0,23,0,0
T1,3,4,6/9/2021,New,0,1,34,0,0
T6,4,2,6/9/2021,New,0,2,146,0,0
T6,4,4,6/9/2021,New,0,5,128,0,0
DF,3,2,6/9/2021,New,0,3,17,1,0
DF,3,4,6/9/2021,New,0,0,16,1,0
T4,2,2,6/9/2021,New,0,2,37,0,0
T4,2,4,6/9/2021,New,0,0,22,0,0
T4,4,2,6/9/2021,New,0,2,26,0,0
T4,4,4,6/9/2021,New,0,0,13,0,0
T2,1,2,6/9/2021,New,0,0,28,0,0
T2,1,4,6/9/2021,New,0,1,23,0,0
T3,6,2,6/9/2021,New,0,0,26,0,0
T3,6,4,6/9/2021,New,0,0,12,0,0
T6,3,2,6/9/2021,New,0,1,124,0,0
T6,3,4,6/9/2021,New,0,2,83,0,0
T6,1,2,6/9/2021,New,0,3,39,0,0
T6,1,4,6/9/2021,New,0,0,57,0,0
T2,5,2,6/9/2021,New,0,0,32,0,0
T2,5,4,6/9/2021,New,0,0,23,0,0
T2,6,2,6/9/2021,New,0,0,32,0,1
T2,6,4,6/9/2021,New,0,0,14,0,0
T1,1,2,6/9/2021,New,0,0,22,0,0
T1,1,4,6/9/2021,New,0,1,18,0,0
T1,5,2,6/9/2021,New,0,1,23,0,0
T1,5,4,6/9/2021,New,0,2,16,0,0
T5,6,2,6/9/2021,New,0,5,17,0,0
T5,6,4,6/9/2021,New,0,1,43,0,0
T4,3,2,6/9/2021,New,0,2,8,0,0
T4,3,4,6/9/2021,New,0,0,22,0,0
T1,6,2,6/9/2021,New,0,0,19,0,0
T1,6,4,6/9/2021,New,0,0,4,0,0
T6,2,2,6/9/2021,New,0,1,60,0,0
T6,2,4,6/9/2021,New,0,1,56,0,0
T3,5,2,6/9/2021,New,0,0,16,0,0
T3,5,4,6/9/2021,New,0,0,9,0,0
T7,2,2,6/9/2021,New,0,2,68,0,0
T7,2,4,6/9/2021,New,0,2,28,0,0
