"TRAPID","TREATID","HABITAT","TREAT_DESC","REP","STATION"
211,"CF-1","CF","Coniferous",1,1
212,"CF-1","CF","Coniferous",1,2
213,"CF-1","CF","Coniferous",1,3
214,"CF-1","CF","Coniferous",1,4
215,"CF-1","CF","Coniferous",1,5
216,"CF-2","CF","Coniferous",2,1
217,"CF-2","CF","Coniferous",2,2
218,"CF-2","CF","Coniferous",2,3
219,"CF-2","CF","Coniferous",2,4
220,"CF-2","CF","Coniferous",2,5
221,"CF-3","CF","Coniferous",3,1
222,"CF-3","CF","Coniferous",3,2
223,"CF-3","CF","Coniferous",3,3
224,"CF-3","CF","Coniferous",3,4
225,"CF-3","CF","Coniferous",3,5
226,"DF-1","DF","Deciduous",1,1
227,"DF-1","DF","Deciduous",1,2
228,"DF-1","DF","Deciduous",1,3
229,"DF-1","DF","Deciduous",1,4
230,"DF-1","DF","Deciduous",1,5
231,"DF-2","DF","Deciduous",2,1
232,"DF-2","DF","Deciduous",2,2
233,"DF-2","DF","Deciduous",2,3
234,"DF-2","DF","Deciduous",2,4
235,"DF-2","DF","Deciduous",2,5
236,"DF-3","DF","Deciduous",3,1
237,"DF-3","DF","Deciduous",3,2
238,"DF-3","DF","Deciduous",3,3
239,"DF-3","DF","Deciduous",3,4
240,"DF-3","DF","Deciduous",3,5
241,"SF-1","SF","Succesional",1,1
242,"SF-1","SF","Succesional",1,2
243,"SF-1","SF","Succesional",1,3
244,"SF-1","SF","Succesional",1,4
245,"SF-1","SF","Succesional",1,5
246,"SF-2","SF","Succesional",2,1
247,"SF-2","SF","Succesional",2,2
248,"SF-2","SF","Succesional",2,3
249,"SF-2","SF","Succesional",2,4
250,"SF-2","SF","Succesional",2,5
251,"SF-3","SF","Succesional",3,1
252,"SF-3","SF","Succesional",3,2
253,"SF-3","SF","Succesional",3,3
254,"SF-3","SF","Succesional",3,4
255,"SF-3","SF","Succesional",3,5
