"DATE","SPID","ADULTS","TRAPID"
"7/15/2021","LCW",0,211
"6/4/2021","CTRIF",0,211
"7/15/2021","CYCSP",0,211
"7/15/2021","BURSI",0,211
"6/4/2021","H13",0,211
"6/4/2021","CSTIG",0,211
"7/15/2021","H13",0,211
"8/20/2021","CSTIG",0,211
"7/15/2021","C7",0,211
"8/6/2021","LCW",0,211
"7/15/2021","HCONV",0,211
"7/2/2021","LAMPY",0,211
"7/15/2021","PQUA",0,211
"8/13/2021","CSTIG",0,211
"7/15/2021","HAXY",0,211
"8/13/2021","MECOP",2,211
"8/6/2021","HPARN",0,211
"7/2/2021","OTHER",0,211
"6/4/2021","ABIPN",0,211
"7/15/2021","LAMPY",0,211
"6/4/2021","BURSI",0,211
"6/11/2021","H13",0,211
"7/23/2021","CTRIF",0,211
"6/25/2021","C7",0,211
"7/2/2021","HCONV",0,211
"7/23/2021","C7",0,211
"8/20/2021","HPARN",0,211
"6/25/2021","LCW",0,211
"6/4/2021","HAXY",0,211
"7/23/2021","PQUA",0,211
"7/30/2021","CMAC",0,211
"6/4/2021","C7",0,211
"7/15/2021","CSTIG",0,211
"7/2/2021","MECOP",0,211
"6/4/2021","X20SPOT",0,211
"7/15/2021","ABIPN",0,211
"6/25/2021","CTRIF",0,211
"7/15/2021","CANTHARID",0,211
"6/25/2021","BURSI",0,211
"6/4/2021","HCONV",0,211
"7/23/2021","BURSI",0,211
"8/6/2021","PQUA",0,211
"7/30/2021","CSTIG",0,211
"7/2/2021","CTRIF",0,211
"7/23/2021","HPARN",0,211
"7/30/2021","BURSI",0,211
"7/9/2021","X20SPOT",0,211
"6/25/2021","HCONV",0,211
"6/4/2021","PQUA",0,211
"6/4/2021","HPARN",0,211
"7/23/2021","CSTIG",0,211
"6/4/2021","HGLAC",0,211
"7/15/2021","HVAR",0,211
"6/11/2021","ABIPN",0,211
"8/6/2021","CANTHARID",0,211
"7/30/2021","CTRIF",0,211
"6/11/2021","HGLAC",0,211
"7/2/2021","CMAC",0,211
"7/30/2021","X20SPOT",0,211
"7/15/2021","CMAC",0,211
"6/4/2021","MECOP",0,211
"7/15/2021","OTHER",0,211
"6/11/2021","CMAC",0,211
"7/2/2021","HVAR",0,211
"7/15/2021","MECOP",0,211
"8/6/2021","LAMPY",0,211
"7/30/2021","HCONV",0,211
"7/15/2021","HGLAC",0,211
"8/6/2021","HVAR",0,211
"6/25/2021","MECOP",0,211
"7/2/2021","CSTIG",0,211
"8/20/2021","CTRIF",0,211
"6/25/2021","HPARN",0,211
"7/2/2021","BURSI",0,211
"7/9/2021","H13",0,211
"6/11/2021","CSTIG",0,211
"6/25/2021","CSTIG",0,211
"7/23/2021","CMAC",0,211
"7/9/2021","BURSI",0,211
"7/23/2021","MECOP",0,211
"7/2/2021","HAXY",1,211
"7/30/2021","H13",0,211
"6/25/2021","LAMPY",0,211
"6/11/2021","HVAR",0,211
"6/4/2021","CYCSP",0,211
"7/2/2021","C7",0,211
"8/20/2021","CMAC",0,211
"6/4/2021","CMAC",0,211
"6/4/2021","LCW",0,211
"7/30/2021","CANTHARID",0,211
"7/30/2021","PQUA",0,211
"6/25/2021","CMAC",0,211
"8/6/2021","MECOP",4,211
"7/2/2021","HGLAC",0,211
"7/23/2021","X20SPOT",0,211
"6/25/2021","ABIPN",0,211
"7/23/2021","LAMPY",0,211
"6/17/2021","HGLAC",0,211
"6/25/2021","PQUA",0,211
"8/13/2021","CANTHARID",0,211
"8/20/2021","CANTHARID",0,211
"7/23/2021","HCONV",0,211
"7/30/2021","LAMPY",0,211
"7/30/2021","HPARN",0,211
"6/11/2021","BURSI",0,211
"7/23/2021","OTHER",0,211
"7/2/2021","HPARN",0,211
"7/23/2021","ABIPN",0,211
"7/30/2021","CYCSP",1,211
"8/20/2021","X20SPOT",0,211
"8/6/2021","HCONV",0,211
"7/30/2021","OTHER",0,211
"8/13/2021","LAMPY",0,211
"6/11/2021","HAXY",0,211
"7/23/2021","HGLAC",0,211
"6/11/2021","CTRIF",0,211
"6/4/2021","CANTHARID",0,211
"6/11/2021","C7",0,211
"8/13/2021","HCONV",0,211
"8/13/2021","H13",0,211
"7/30/2021","HGLAC",0,211
"8/13/2021","CMAC",0,211
"6/17/2021","HVAR",0,211
"7/23/2021","CANTHARID",0,211
"8/13/2021","LCW",0,211
"7/9/2021","HPARN",0,211
"7/30/2021","MECOP",0,211
"6/17/2021","CYCSP",1,211
"7/23/2021","HAXY",0,211
"6/25/2021","CYCSP",0,211
"6/11/2021","CYCSP",0,211
"6/17/2021","LCW",0,211
"6/17/2021","MECOP",0,211
"8/6/2021","X20SPOT",0,211
"6/25/2021","OTHER",0,211
"8/20/2021","HGLAC",0,211
"6/11/2021","PQUA",0,211
"7/2/2021","CYCSP",0,211
"8/20/2021","H13",0,211
"7/30/2021","C7",0,211
"7/23/2021","HVAR",0,211
"7/9/2021","OTHER",0,211
"7/2/2021","ABIPN",0,211
"7/2/2021","PQUA",0,211
"7/30/2021","HVAR",0,211
"8/6/2021","ABIPN",0,211
"6/11/2021","X20SPOT",0,211
"6/17/2021","CANTHARID",0,211
"7/9/2021","ABIPN",0,211
"6/17/2021","HPARN",0,211
"7/2/2021","H13",0,211
"6/17/2021","HAXY",1,211
"6/11/2021","HPARN",0,211
"7/9/2021","HGLAC",0,211
"7/2/2021","X20SPOT",0,211
"8/20/2021","C7",0,211
"6/4/2021","HVAR",0,211
"6/17/2021","X20SPOT",1,211
"8/6/2021","BURSI",0,211
"7/9/2021","C7",0,211
"7/9/2021","CANTHARID",0,211
"6/25/2021","X20SPOT",0,211
"8/13/2021","OTHER",0,211
"8/20/2021","HCONV",0,211
"7/15/2021","HPARN",0,211
"6/4/2021","OTHER",0,211
"6/25/2021","HVAR",0,211
"7/9/2021","HCONV",0,211
"7/15/2021","X20SPOT",0,211
"7/9/2021","CTRIF",0,211
"6/17/2021","ABIPN",0,211
"7/23/2021","CYCSP",0,211
"6/17/2021","BURSI",0,211
"8/6/2021","C7",0,211
"8/13/2021","CTRIF",0,211
"7/30/2021","HAXY",0,211
"7/9/2021","HVAR",0,211
"6/17/2021","PQUA",0,211
"8/13/2021","BURSI",0,211
"7/9/2021","HAXY",0,211
"8/20/2021","CYCSP",0,211
"6/25/2021","HGLAC",0,211
"7/2/2021","LCW",0,211
"6/25/2021","H13",0,211
"6/4/2021","LAMPY",0,211
"8/6/2021","OTHER",0,211
"7/9/2021","CSTIG",0,211
"8/13/2021","CYCSP",0,211
"6/17/2021","LAMPY",0,211
"8/13/2021","C7",0,211
"8/13/2021","X20SPOT",0,211
"6/25/2021","CANTHARID",0,211
"8/20/2021","HAXY",0,211
"8/13/2021","ABIPN",0,211
"8/6/2021","H13",0,211
"7/30/2021","ABIPN",0,211
"7/2/2021","CANTHARID",0,211
"8/20/2021","LCW",0,211
"6/11/2021","OTHER",0,211
"7/15/2021","CTRIF",0,211
"8/6/2021","CMAC",0,211
"6/11/2021","MECOP",0,211
"6/11/2021","LAMPY",0,211
"6/11/2021","LCW",0,211
"6/17/2021","HCONV",0,211
"8/6/2021","HGLAC",0,211
"7/9/2021","PQUA",0,211
"7/9/2021","CMAC",0,211
"8/13/2021","PQUA",0,211
"8/6/2021","CSTIG",0,211
"8/6/2021","CTRIF",0,211
"7/9/2021","LAMPY",0,211
"8/20/2021","MECOP",6,211
"8/20/2021","PQUA",0,211
"6/17/2021","C7",0,211
"7/30/2021","LCW",0,211
"7/9/2021","LCW",0,211
"6/11/2021","CANTHARID",0,211
"7/23/2021","LCW",0,211
"6/17/2021","CMAC",0,211
"6/25/2021","HAXY",0,211
"8/6/2021","HAXY",0,211
"6/17/2021","H13",0,211
"6/11/2021","HCONV",0,211
"8/13/2021","HAXY",0,211
"8/20/2021","HVAR",0,211
"7/23/2021","H13",0,211
"7/9/2021","CYCSP",0,211
"8/20/2021","LAMPY",0,211
"7/9/2021","MECOP",0,211
"8/20/2021","OTHER",0,211
"6/17/2021","CSTIG",0,211
"8/13/2021","HVAR",0,211
"8/20/2021","ABIPN",0,211
"6/17/2021","OTHER",1,211
"8/6/2021","CYCSP",0,211
"6/17/2021","CTRIF",0,211
"8/20/2021","BURSI",0,211
"8/13/2021","HGLAC",0,211
"8/13/2021","HPARN",0,211
"7/30/2021","LCW",0,212
"7/2/2021","MECOP",1,212
"7/23/2021","LAMPY",0,212
"7/2/2021","ABIPN",0,212
"8/6/2021","CMAC",0,212
"8/13/2021","CANTHARID",0,212
"6/25/2021","PQUA",0,212
"8/20/2021","LAMPY",0,212
"6/4/2021","X20SPOT",0,212
"8/20/2021","MECOP",2,212
"8/20/2021","ABIPN",0,212
"6/25/2021","HPARN",0,212
"8/13/2021","H13",0,212
"6/11/2021","CTRIF",0,212
"7/15/2021","HCONV",0,212
"8/13/2021","CSTIG",0,212
"6/11/2021","CYCSP",0,212
"6/17/2021","HPARN",0,212
"7/30/2021","X20SPOT",0,212
"8/13/2021","HCONV",0,212
"8/13/2021","HGLAC",0,212
"8/20/2021","BURSI",0,212
"6/4/2021","PQUA",0,212
"7/9/2021","CYCSP",0,212
"8/13/2021","CTRIF",0,212
"6/11/2021","OTHER",0,212
"8/6/2021","CTRIF",0,212
"7/15/2021","HGLAC",0,212
"8/13/2021","MECOP",1,212
"8/13/2021","HPARN",0,212
"7/9/2021","CSTIG",0,212
"7/15/2021","CSTIG",0,212
"8/6/2021","CYCSP",0,212
"6/17/2021","CTRIF",0,212
"6/11/2021","BURSI",0,212
"7/15/2021","OTHER",0,212
"6/25/2021","X20SPOT",0,212
"6/25/2021","MECOP",1,212
"6/11/2021","HAXY",0,212
"6/4/2021","BURSI",0,212
"7/2/2021","X20SPOT",0,212
"7/30/2021","MECOP",0,212
"7/23/2021","HPARN",0,212
"7/15/2021","HAXY",0,212
"6/17/2021","OTHER",0,212
"8/20/2021","HPARN",0,212
"6/25/2021","BURSI",0,212
