"DATE","SPID","ADULTS","TRAPID"
"8/13/2020","LCW",0,136
"8/13/2020","HAXY",0,136
"7/10/2020","X20SPOT",0,136
"8/13/2020","ABIPN",0,136
"8/20/2020","LAMPY",0,136
"8/13/2020","H13",0,136
"8/13/2020","CSTIG",0,136
"9/3/2020","PQUA",0,136
"8/27/2020","LCW",0,136
"8/13/2020","CANTHARID",0,136
"8/27/2020","HPARN",0,136
"6/24/2020","CMAC",0,136
"8/13/2020","CYCSP",0,136
"8/13/2020","HVAR",0,136
"7/23/2020","CYCSP",0,136
"6/11/2020","BURSI",0,136
"8/13/2020","HCONV",0,136
"8/6/2020","CTRIF",0,136
"7/16/2020","HGLAC",0,136
"8/13/2020","LAMPY",0,136
"7/23/2020","PQUA",0,136
"8/20/2020","H13",0,136
"6/24/2020","BURSI",0,136
"7/23/2020","MECOP",0,136
"8/6/2020","C7",0,136
"7/23/2020","X20SPOT",0,136
"7/23/2020","HPARN",0,136
"7/1/2020","C7",0,136
"7/16/2020","LAMPY",0,136
"8/20/2020","X20SPOT",0,136
"7/23/2020","HAXY",0,136
"7/30/2020","CANTHARID",0,136
"7/16/2020","HAXY",0,136
"7/30/2020","PQUA",0,136
"8/13/2020","CTRIF",0,136
"8/20/2020","LCW",0,136
"7/23/2020","CANTHARID",0,136
"8/13/2020","HGLAC",0,136
"7/16/2020","CANTHARID",0,136
"7/16/2020","CSTIG",0,136
"7/16/2020","LCW",0,136
"6/24/2020","CTRIF",0,136
"7/30/2020","X20SPOT",0,136
"9/3/2020","HGLAC",0,136
"9/3/2020","MECOP",0,136
"8/20/2020","HVAR",0,136
"8/20/2020","CANTHARID",0,136
"9/3/2020","LAMPY",0,136
"9/3/2020","HVAR",0,136
"8/20/2020","HPARN",0,136
"8/27/2020","HVAR",0,136
"7/1/2020","X20SPOT",0,136
"8/6/2020","HCONV",0,136
"9/3/2020","H13",0,136
"9/3/2020","CSTIG",0,136
"7/1/2020","PQUA",0,136
"6/24/2020","H13",0,136
"9/3/2020","CMAC",0,136
"8/6/2020","H13",0,136
"6/11/2020","H13",0,136
"9/3/2020","HAXY",0,136
"9/3/2020","LCW",0,136
"7/16/2020","HPARN",0,136
"9/3/2020","X20SPOT",0,136
"7/16/2020","PQUA",0,136
"8/20/2020","HGLAC",0,136
"9/3/2020","HPARN",0,136
"8/6/2020","HPARN",0,136
"8/20/2020","PQUA",0,136
"8/27/2020","LAMPY",0,136
"7/16/2020","C7",0,136
"7/23/2020","ABIPN",0,136
"8/27/2020","HAXY",0,136
"7/1/2020","ABIPN",0,136
"8/13/2020","HPARN",0,136
"7/23/2020","LAMPY",0,136
"7/1/2020","BURSI",0,136
"6/11/2020","CMAC",0,136
"6/24/2020","ABIPN",0,136
"8/20/2020","HAXY",0,136
"6/24/2020","CSTIG",0,136
"8/13/2020","CMAC",0,136
"6/11/2020","CTRIF",0,136
"7/16/2020","CTRIF",0,136
"8/6/2020","CMAC",0,136
"8/20/2020","CYCSP",0,136
"7/30/2020","MECOP",0,136
"6/18/2020","CSTIG",0,136
"8/6/2020","BURSI",0,136
"7/23/2020","HVAR",0,136
"8/6/2020","ABIPN",0,136
"8/27/2020","HCONV",0,136
"7/23/2020","HGLAC",0,136
"9/3/2020","CYCSP",0,136
"7/10/2020","PQUA",0,136
"8/20/2020","MECOP",0,136
"8/27/2020","HGLAC",0,136
"7/23/2020","C7",0,136
"7/10/2020","CANTHARID",0,136
"7/23/2020","LCW",0,136
"7/16/2020","HCONV",0,136
"8/13/2020","C7",0,136
"6/11/2020","CYCSP",0,136
"7/16/2020","CYCSP",0,136
"7/10/2020","LCW",0,136
"6/24/2020","HGLAC",0,136
"6/18/2020","ABIPN",0,136
"8/6/2020","PQUA",1,136
"7/10/2020","HPARN",0,136
"7/16/2020","MECOP",0,136
"7/10/2020","H13",0,136
"8/13/2020","X20SPOT",0,136
"9/3/2020","HCONV",0,136
"7/23/2020","CSTIG",0,136
"8/27/2020","CANTHARID",1,136
"8/13/2020","BURSI",0,136
"8/27/2020","X20SPOT",0,136
"8/27/2020","CYCSP",0,136
"7/16/2020","HVAR",0,136
"6/18/2020","BURSI",0,136
"6/11/2020","ABIPN",0,136
"6/11/2020","HPARN",0,136
"7/1/2020","CSTIG",0,136
"6/11/2020","HCONV",0,136
"6/24/2020","HCONV",0,136
"7/10/2020","CMAC",0,136
"6/11/2020","PQUA",0,136
"6/11/2020","MECOP",0,136
"8/20/2020","C7",0,136
"8/20/2020","HCONV",0,136
"8/6/2020","CYCSP",0,136
"6/11/2020","HAXY",0,136
"6/18/2020","CMAC",0,136
"6/18/2020","H13",0,136
